Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679627740.433769,1,-32159.756978,-34631.0329,-61165.816923,-45567.316779,-187500.022352,-32341.119032,-187500.022352,-40899.065542,-35401.274014,-187500.022352,187500.0,-187500.022352,-20994.52418,-48682.077072,-52418.484082,-30998.405039
1679627740.43379,1,-32147.910553,-34622.606292,-61169.437905,-45569.50725,-187500.022352,-32341.364901,-187500.022352,-40896.808016,-35399.485874,-187500.022352,187500.0,-187500.022352,-20999.77684,-48690.436624,-52419.825187,-31020.667377
1679627740.433812,1,-32152.157384,-34619.25353,-61166.018089,-45567.830869,-187500.022352,-32335.799317,-187500.022352,-40895.466911,-35397.317755,-187500.022352,187500.0,-187500.022352,-20989.763259,-48687.061511,-52419.86989,-30994.269966
1679627740.433833,1,-32162.059207,-34620.1476,-61168.901464,-45573.508212,-187500.022352,-32339.867334,-187500.022352,-40896.651554,-35396.49074,-187500.022352,187500.0,-187500.022352,-20993.853628,-48686.837993,-52417.500605,-31026.277664
1679627740.433854,1,-32140.065091,-34607.876492,-61173.930606,-45575.02813,-187500.022352,-32341.85664,-187500.022352,-40904.228795,-35403.643299,-187500.022352,187500.0,-187500.022352,-20998.011052,-48690.414273,-52421.568623,-31006.943406
1679627740.433875,1,-32162.550946,-34606.334222,-61174.221179,-45570.289561,-187500.022352,-32334.391157,-187500.022352,-40897.277403,-35405.319679,-187500.022352,187500.0,-187500.022352,-20999.218047,-48684.625171,-52425.368419,-31013.805391
1679627740.433896,1,-32149.184602,-34615.587844,-61173.461219,-45570.982465,-187500.022352,-32338.01214,-187500.022352,-40893.924641,-35400.692868,-187500.022352,187500.0,-187500.022352,-20987.86336,-48683.507584,-52416.40537,-31026.389423
1679627740.433918,1,-32149.02814,-34621.354594,-61175.338766,-45569.842526,-187500.022352,-32341.297846,-187500.022352,-40897.50092,-35400.089371,-187500.022352,187500.0,-187500.022352,-20991.350233,-48683.820508,-52415.488948,-30986.558615
1679627740.433939,1,-32164.629658,-34629.065946,-61178.959749,-45569.730767,-187500.022352,-32342.437785,-187500.022352,-40899.154949,-35400.402296,-187500.022352,187500.0,-187500.022352,-20996.602892,-48686.234496,-52414.796044,-31019.147458
1679627740.433988,1,-32143.12728,-34603.428495,-61178.9821,-45566.221543,-187500.022352,-32337.654512,-187500.022352,-40887.666152,-35402.995098,-187500.022352,187500.0,-187500.022352,-20993.965387,-48685.362778,-52416.964163,-30995.320498
1679627740.43401,1,-32163.154443,-34617.778315,-61183.273635,-45575.989255,-187500.022352,-32343.376558,-187500.022352,-40891.264783,-35394.143807,-187500.022352,187500.0,-187500.022352,-20990.187942,-48680.288932,-52411.577393,-30997.823894
1679627740.434031,1,-32152.626771,-34614.24674,-61189.509772,-45586.338113,-187500.022352,-32354.015989,-187500.022352,-40897.322106,-35402.548063,-187500.022352,187500.0,-187500.022352,-20991.663157,-48692.895316,-52421.300402,-31023.684862
1679627740.434053,1,-32145.720082,-34609.686984,-61189.979159,-45584.326456,-187500.022352,-32349.03155,-187500.022352,-40897.791493,-35400.20113,-187500.022352,187500.0,-187500.022352,-20997.474611,-48694.839918,-52427.827111,-30999.030888
1679627740.434073,1,-32164.294382,-34625.690833,-61190.537952,-45579.789052,-187500.022352,-32343.39891,-187500.022352,-40894.237565,-35401.341069,-187500.022352,187500.0,-187500.022352,-21001.006186,-48684.803985,-52424.720219,-31038.951104
1679627740.434094,1,-32136.555867,-34602.914405,-61187.364005,-45579.833755,-187500.022352,-32346.148175,-187500.022352,-40893.231737,-35400.245833,-187500.022352,187500.0,-187500.022352,-20993.272483,-48687.128566,-52432.16335,-31008.128048
1679627740.434116,1,-32168.49651,-34617.845371,-61183.117173,-45581.353674,-187500.022352,-32344.717663,-187500.022352,-40891.488301,-35400.692868,-187500.022352,187500.0,-187500.022352,-20988.511561,-48686.145089,-52428.296498,-31006.563426
1679627740.434136,1,-32153.76671,-34604.411972,-61183.005414,-45583.99118,-187500.022352,-32348.070425,-187500.022352,-40888.962554,-35397.787142,-187500.022352,187500.0,-187500.022352,-20987.997471,-48684.088729,-52421.814492,-31031.843249
1679627740.434158,1,-32154.526669,-34610.782219,-61185.039423,-45589.646171,-187500.022352,-32348.204535,-187500.022352,-40893.231737,-35401.072848,-187500.022352,187500.0,-187500.022352,-21000.402689,-48686.100386,-52426.463655,-30995.901644
1679627740.434178,1,-32161.790986,-34627.367214,-61187.699281,-45591.724884,-187500.022352,-32349.053901,-187500.022352,-40887.532042,-35402.25749,-187500.022352,187500.0,-187500.022352,-20988.466857,-48693.007075,-52420.831015,-31033.51963
1679627740.434199,1,-32150.346893,-34611.56453,-61190.917932,-45590.093206,-187500.022352,-32350.171489,-187500.022352,-40890.996562,-35410.415877,-187500.022352,187500.0,-187500.022352,-20995.440602,-48698.080921,-52427.201262,-31013.112487
1679627740.434245,1,-32155.979533,-34612.615062,-61177.842161,-45576.883325,-187500.022352,-32332.133631,-187500.022352,-40870.924696,-35398.435342,-187500.022352,187500.0,-187500.022352,-20988.24334,-48684.111081,-52419.22169,-31010.743202
1679627740.434267,1,-32141.070919,-34597.952318,-61178.132734,-45576.235125,-187500.022352,-32335.017006,-187500.022352,-40871.10351,-35396.513092,-187500.022352,187500.0,-187500.022352,-20988.846837,-48680.557153,-52413.946678,-31024.489525
1679627740.434289,1,-32146.100062,-34602.71324,-61177.350423,-45575.341055,-187500.022352,-32332.245389,-187500.022352,-40875.126824,-35400.178778,-187500.022352,187500.0,-187500.022352,-20988.332747,-48677.338502,-52415.5113,-30978.623745
1679627740.434309,1,-32158.237059,-34615.118458,-61173.125943,-45574.424633,-187500.022352,-32328.02091,-187500.022352,-40879.843042,-35402.190435,-187500.022352,187500.0,-187500.022352,-20978.363869,-48676.511488,-52412.382056,-31015.034737
1679627740.43433,1,-32129.984454,-34599.583995,-61186.827563,-45589.422654,-187500.022352,-32351.08791,-187500.022352,-40890.571879,-35397.38481,-187500.022352,187500.0,-187500.022352,-20985.002337,-48682.881735,-52415.846576,-31002.294243
1679627740.43435,1,-32153.163213,-34613.687946,-61184.99472,-45588.819157,-187500.022352,-32345.052939,-187500.022352,-40890.370714,-35399.68704,-187500.022352,187500.0,-187500.022352,-20992.803096,-48691.330694,-52423.692038,-30996.37103
1679627740.434371,1,-32145.585972,-34602.132094,-61185.218237,-45587.96979,-187500.022352,-32346.572858,-187500.022352,-40878.881917,-35397.988307,-187500.022352,187500.0,-187500.022352,-20993.406593,-48686.547421,-52415.153672,-31023.684862
1679627740.434392,1,-32140.489774,-34609.776391,-61185.374699,-45586.94161,-187500.022352,-32345.812898,-187500.022352,-40885.45333,-35400.558758,-187500.022352,187500.0,-187500.022352,-20995.708823,-48690.078996,-52416.293611,-30987.586795
